Route File,Mount Path,Method,Endpoint,Auth,DB Table(s),Status,Notes / Open Issues
assets.ts,/api/assets,POST,/:id/documents,requireAuth,asset_documents,Done,Attach document
assets.ts,/api/assets,DELETE,/:id/documents/:docId,requireAuth,asset_documents,Done,Remove document
assets.ts,/api/assets,GET,/:id/documents,requireAuth,asset_documents,Done,List documents for asset
config-tasks.ts,/api/config-tasks,GET,/,requireAuth,configuration_tasks,Done,All tasks; optionally filter by device_id
config-tasks.ts,/api/config-tasks,POST,/,requireAuth,configuration_tasks,Done,INSERT task
config-tasks.ts,/api/config-tasks,PUT,/:id,requireAuth,configuration_tasks,Done,UPDATE task (status / assignee / etc.)
config-tasks.ts,/api/config-tasks,DELETE,/:id,requireAuth,configuration_tasks,Done,DELETE task
device-templates.ts,/api/device-templates,GET,/,requireAuth,device_templates,Done,All templates
device-templates.ts,/api/device-templates,POST,/,requireAuth,device_templates,Done,INSERT
device-templates.ts,/api/device-templates,DELETE,/:id,requireAuth,device_templates,Done,DELETE
drifts.ts,/api/drifts,GET,/,requireAuth,drifts,Done,All drifts; filter by device_id query param
drifts.ts,/api/drifts,POST,/,requireAuth,drifts,Done,Insert drift record
drifts.ts,/api/drifts,PATCH,/:id,requireAuth,drifts,Done,Update status (Open / Resolved / Ignored)
validation-history.ts,/api/validation-history,GET,/,requireAuth,validation_history,Done,All records; filter by device_id
validation-history.ts,/api/validation-history,POST,/,requireAuth,validation_history,Done,Insert validation result
users.ts,/api/users,GET,/,requireAdmin,users,Done,All users list
users.ts,/api/users,PUT,/:uid/role,requireAdmin,users,Done,Update user role
users.ts,/api/users,DELETE,/:uid,requireAdmin,users,Done,Delete user
chats.ts,/api/chats,GET,/,requireAuth,chats,Done,Fetch messages for authed user (ordered by timestamp)
chats.ts,/api/chats,POST,/,requireAuth,chats,Done,Insert chat message (role: user|assistant)
upload.ts,/api/upload,POST,/,requireAuth,—,Done,Multer; saves to /uploads/; returns public URL
—,/api/health,GET,/,None,—,Done,Returns {status ok ts}
MISSING,/api/audit-logs,GET,/,requireAdmin,audit_logs,Missing,Table exists (001_initial.sql) but NO route — AuditLog.tsx uses hardcoded data (FR-020)
MISSING,/api/audit-logs,POST,/,Internal,audit_logs,Missing,Need helper to write audit events from every mutating route (FR-020)
MISSING,/api/monitoring,GET,/metrics,requireAuth,—,Missing,No poller — fakeLatency/fakeUptime in frontend (FR-019); need ICMP/SNMP worker + metrics store
MISSING,/api/monitoring,GET,/stream (SSE),requireAuth,—,Missing,SSE push for live device state (FR-024); no EventSource endpoint exists
MISSING,/api/automation,GET,/scripts,requireAuth,automation_scripts,Missing,Table not created; Automation.tsx fully hardcoded (FR-021)
MISSING,/api/automation,POST,/scripts,requireAdmin,automation_scripts,Missing,
MISSING,/api/automation,POST,/scripts/:id/run,requireAdmin,automation_runs,Missing,
MISSING,/api/automation,GET,/runs,requireAuth,automation_runs,Missing,
MISSING,/api/auth,POST,/forgot-password,None,users,Missing,No reset token table or email service (FR-031)
MISSING,/api/auth,POST,/reset-password,None,users,Missing,
MISSING,/api/users,POST,/invite,requireAdmin,users,Missing,Email invite flow (FR-032)
DB Migration 006,—,—,—,—,audit_logs (add indexes),Planned,Composite index (resource_type resource_id) needed for fast lookup
DB Migration 007,—,—,—,—,automation_scripts + automation_runs,Planned,New tables for FR-021
DB Migration 008,—,—,—,—,monitoring_metrics,Planned,Time-series table or TimescaleDB extension for FR-019 / FR-025
DB Migration 009,—,—,—,—,password_reset_tokens,Planned,For FR-031 forgot-password flow
